year,county,driver,passenger,cyclist,pedestrian,crashes
2008,Atlantic,17,8,0,6,30
2008,Bergen,10,5,1,7,22
2008,Burlington,23,6,4,12,45
2008,Camden,25,4,0,15,42
2008,Cape May,8,3,0,0,11
2008,Cumberland,15,5,1,2,23
2008,Essex,23,11,1,14,43
2008,Gloucester,14,13,1,5,29
2008,Hudson,13,4,4,6,24
2008,Hunterdon,6,2,0,3,9
2008,Mercer,11,6,1,4,20
2008,Middlesex,28,9,1,8,42
2008,Monmouth,29,9,2,7,45
2008,Morris,15,2,3,6,25
2008,Ocean,20,8,0,10,37
2008,Passaic,9,5,0,11,25
2008,Salem,13,3,0,0,14
2008,Somerset,8,2,0,5,15
2008,Sussex,12,2,0,0,14
2008,Union,17,4,1,16,35
2008,Warren,4,1,0,1,5
2009,Atlantic,22,8,1,12,41
2009,Bergen,14,0,0,12,25
2009,Burlington,27,14,0,7,43
2009,Camden,24,7,2,9,37
2009,Cape May,7,0,0,1,8
2009,Cumberland,21,5,1,1,27
2009,Essex,14,7,0,21,40
2009,Gloucester,14,4,1,3,22
2009,Hudson,7,3,0,12,22
2009,Hunterdon,5,1,0,2,8
2009,Mercer,11,4,0,7,21
2009,Middlesex,19,10,1,18,44
2009,Monmouth,18,2,3,11,34
2009,Morris,12,3,0,3,18
2009,Ocean,32,12,4,15,57
2009,Passaic,16,5,0,5,23
2009,Salem,11,1,1,1,13
2009,Somerset,9,3,0,1,13
2009,Sussex,5,2,0,0,7
2009,Union,21,6,0,14,38
2009,Warren,6,1,0,2,9
2010,Atlantic,10,7,1,6,22
2010,Bergen,17,5,0,15,36
2010,Burlington,22,7,0,5,33
2010,Camden,17,11,3,10,37
2010,Cape May,4,1,0,0,4
2010,Cumberland,16,5,0,2,22
2010,Essex,16,7,0,18,40
2010,Gloucester,7,4,2,6,19
2010,Hudson,6,4,1,14,24
2010,Hunterdon,8,2,1,1,12
2010,Mercer,11,4,1,4,18
2010,Middlesex,20,5,1,11,37
2010,Monmouth,25,8,1,11,43
2010,Morris,14,3,0,8,23
2010,Ocean,40,5,1,8,53
2010,Passaic,10,4,0,8,22
2010,Salem,8,4,0,0,10
2010,Somerset,19,6,1,3,27
2010,Sussex,11,0,0,0,11
2010,Union,16,3,0,10,28
2010,Warren,6,4,0,1,9
2011,Atlantic,22,16,1,9,41
2011,Bergen,13,3,1,14,30
2011,Burlington,33,13,1,5,50
2011,Camden,30,6,1,12,46
2011,Cape May,6,3,0,0,8
2011,Cumberland,17,3,0,4,22
2011,Essex,26,8,0,18,50
2011,Gloucester,20,4,1,1,24
2011,Hudson,9,4,1,11,25
2011,Hunterdon,6,2,1,1,10
2011,Mercer,13,0,1,8,22
2011,Middlesex,35,6,0,13,52
2011,Monmouth,21,7,2,4,31
2011,Morris,21,1,0,2,24
2011,Ocean,24,9,3,16,47
2011,Passaic,12,4,1,11,27
2011,Salem,10,4,0,2,12
2011,Somerset,12,3,2,2,17
2011,Sussex,7,3,0,1,11
2011,Union,12,4,1,9,24
2011,Warren,13,2,0,0,13
2012,Atlantic,16,8,1,7,31
2012,Bergen,17,6,0,10,31
2012,Burlington,28,14,0,11,47
2012,Camden,15,4,1,6,25
2012,Cape May,5,1,0,5,10
2012,Cumberland,9,2,1,6,17
2012,Essex,9,8,2,22,40
2012,Gloucester,15,4,0,4,22
2012,Hudson,12,3,1,9,23
2012,Hunterdon,2,2,1,1,5
2012,Mercer,11,0,1,11,23
2012,Middlesex,32,13,1,19,60
2012,Monmouth,23,3,0,10,34
2012,Morris,18,8,0,4,27
2012,Ocean,33,6,4,10,50
2012,Passaic,16,5,0,10,30
2012,Salem,7,1,0,1,8
2012,Somerset,9,5,0,4,16
2012,Sussex,11,2,0,2,14
2012,Union,13,4,1,10,28
2012,Warren,8,4,0,1,12
2013,Atlantic,31,6,1,4,40
2013,Bergen,9,6,1,21,36
2013,Burlington,24,5,1,5,35
2013,Camden,13,6,1,11,29
2013,Cape May,4,1,0,0,5
2013,Cumberland,15,4,0,5,24
2013,Essex,18,8,1,13,37
2013,Gloucester,16,3,0,7,26
2013,Hudson,6,2,2,6,14
2013,Hunterdon,6,2,0,1,7
2013,Mercer,13,14,1,8,28
2013,Middlesex,30,6,1,15,50
2013,Monmouth,17,5,0,5,26
2013,Morris,13,6,1,5,23
2013,Ocean,32,9,0,8,43
2013,Passaic,18,0,1,8,26
2013,Salem,7,0,2,0,8
2013,Somerset,12,4,1,2,19
2013,Sussex,5,0,0,1,6
2013,Union,10,1,0,7,18
2013,Warren,5,4,0,0,8
2014,Atlantic,19,11,0,11,37
2014,Bergen,12,2,1,24,37
2014,Burlington,17,1,0,13,31
2014,Camden,17,4,0,17,38
2014,Cape May,8,3,0,1,11
2014,Cumberland,13,2,0,3,17
2014,Essex,14,8,1,17,33
2014,Gloucester,21,2,1,7,30
2014,Hudson,7,9,1,7,22
2014,Hunterdon,3,1,1,1,6
2014,Mercer,16,3,0,7,25
2014,Middlesex,20,6,0,7,32
2014,Monmouth,27,4,3,13,45
2014,Morris,7,4,0,3,13
2014,Ocean,26,5,0,14,44
2014,Passaic,16,3,0,5,23
2014,Salem,13,5,0,1,15
2014,Somerset,17,2,2,4,24
2014,Sussex,4,1,0,2,7
2014,Union,12,4,1,13,27
2014,Warren,6,0,0,0,6
2015,Atlantic,13,6,0,10,26
2015,Bergen,12,2,4,12,29
2015,Burlington,23,11,1,13,43
2015,Camden,25,5,0,5,32
2015,Cape May,7,0,1,4,12
2015,Cumberland,22,2,1,4,25
2015,Essex,11,3,0,26,38
2015,Gloucester,12,6,0,5,21
2015,Hudson,8,2,0,17,25
2015,Hunterdon,6,1,0,2,8
2015,Mercer,7,6,2,4,18
2015,Middlesex,16,12,1,12,38
2015,Monmouth,23,8,0,16,45
2015,Morris,12,4,1,6,21
2015,Ocean,21,4,2,11,38
2015,Passaic,15,7,2,8,28
2015,Salem,7,2,0,2,11
2015,Somerset,9,8,1,4,18
2015,Sussex,9,0,0,1,10
2015,Union,12,5,1,11,28
2015,Warren,6,2,0,0,8
2016,Atlantic,19,4,4,13,39
2016,Bergen,16,5,0,14,32
2016,Burlington,31,5,1,13,49
2016,Camden,19,5,1,14,38
2016,Cape May,7,3,0,2,11
2016,Cumberland,17,7,3,5,29
2016,Essex,17,6,1,22,42
2016,Gloucester,15,3,1,7,26
2016,Hudson,8,3,1,12,22
2016,Hunterdon,5,5,0,1,10
2016,Mercer,10,1,1,8,20
2016,Middlesex,30,7,0,10,43
2016,Monmouth,33,7,0,10,47
2016,Morris,11,6,0,4,20
2016,Ocean,25,7,1,8,39
2016,Passaic,15,1,0,6,22
2016,Salem,12,2,0,1,14
2016,Somerset,11,1,1,6,18
2016,Sussex,8,4,0,0,12
2016,Union,12,4,0,9,24
2016,Warren,9,3,2,1,13
2017,Atlantic,21,5,0,10,34
2017,Bergen,13,5,1,8,25
2017,Burlington,31,5,0,12,46
2017,Camden,22,6,1,15,40
2017,Cape May,9,5,0,2,15
2017,Cumberland,16,4,1,5,24
2017,Essex,14,3,1,22,39
2017,Gloucester,25,9,1,9,43
2017,Hudson,6,2,3,15,23
2017,Hunterdon,7,0,0,1,8
2017,Mercer,13,2,0,11,26
2017,Middlesex,26,7,2,13,44
2017,Monmouth,25,6,1,11,40
2017,Morris,16,5,1,7,26
2017,Ocean,28,8,4,13,52
2017,Passaic,9,4,0,5,18
2017,Salem,16,1,0,0,15
2017,Somerset,13,2,1,7,22
2017,Sussex,6,0,0,1,7
2017,Union,17,3,0,14,33
2017,Warren,6,3,0,2,11
2018,Atlantic,17,7,0,6,27
2018,Bergen,9,3,1,19,32
2018,Burlington,22,8,1,13,40
2018,Camden,28,8,3,7,42
2018,Cape May,9,0,0,1,10
2018,Cumberland,14,2,1,2,18
2018,Essex,13,5,2,25,43
2018,Gloucester,19,12,1,6,33
2018,Hudson,3,4,1,14,21
2018,Hunterdon,2,0,0,1,3
2018,Mercer,12,3,2,12,28
2018,Middlesex,26,10,0,14,47
2018,Monmouth,16,3,1,9,28
2018,Morris,15,7,1,5,25
2018,Ocean,18,12,1,8,31
2018,Passaic,11,1,0,9,20
2018,Salem,7,2,0,0,7
2018,Somerset,9,4,1,9,23
2018,Sussex,10,1,0,1,12
2018,Union,10,2,1,14,27
2018,Warren,6,1,0,0,7
2019,Atlantic,15,5,0,12,30
2019,Bergen,16,5,2,19,40
2019,Burlington,21,4,0,8,29
2019,Camden,18,4,0,24,45
2019,Cape May,8,0,1,3,12
2019,Cumberland,15,1,0,4,20
2019,Essex,14,4,0,18,35
2019,Gloucester,24,7,1,10,39
2019,Hudson,9,3,2,5,19
2019,Hunterdon,4,1,0,1,6
2019,Mercer,9,2,1,9,21
2019,Middlesex,27,10,2,8,42
2019,Monmouth,19,5,1,11,33
2019,Morris,13,10,0,6,25
2019,Ocean,24,5,0,10,37
2019,Passaic,17,2,2,10,27
2019,Salem,6,2,0,1,8
2019,Somerset,5,2,0,4,11
2019,Sussex,11,2,0,1,13
2019,Union,8,5,0,10,23
2019,Warren,6,2,0,2,9
2020,Atlantic,26,5,0,9,38
2020,Bergen,14,9,0,20,38
2020,Burlington,26,4,3,9,40
2020,Camden,19,5,1,13,36
2020,Cape May,5,0,1,3,8
2020,Cumberland,14,5,0,5,22
2020,Essex,16,12,3,14,39
2020,Gloucester,21,5,2,7,33
2020,Hudson,11,1,1,11,24
2020,Hunterdon,7,2,0,3,12
2020,Mercer,9,5,0,7,20
2020,Middlesex,27,12,5,23,61
2020,Monmouth,23,2,0,9,33
2020,Morris,8,2,1,6,17
2020,Ocean,20,5,1,4,30
2020,Passaic,17,5,0,7,26
2020,Salem,6,5,0,3,11
2020,Somerset,7,0,0,7,14
2020,Sussex,6,0,0,1,7
2020,Union,13,1,0,16,29
2020,Warren,9,1,0,2,12
2021,Atlantic,22,6,2,19,46
2021,Bergen,20,2,0,13,35
2021,Burlington,24,4,2,11,40
2021,Camden,30,2,2,35,67
2021,Cape May,4,3,3,2,12
2021,Cumberland,17,2,2,7,27
2021,Essex,22,5,3,31,60
2021,Gloucester,28,10,1,9,42
2021,Hudson,11,3,3,13,29
2021,Hunterdon,9,0,0,0,9
2021,Mercer,16,8,2,12,35
2021,Middlesex,26,8,1,12,45
2021,Monmouth,18,4,1,11,32
2021,Morris,15,5,1,4,25
2021,Ocean,26,9,0,9,43
2021,Passaic,12,4,1,8,24
2021,Salem,19,2,0,1,20
2021,Somerset,21,1,0,3,25
2021,Sussex,7,0,1,3,11
2021,Union,11,6,1,11,27
2021,Warren,10,2,0,3,13
2022,Atlantic,18,3,2,11,34
2022,Bergen,21,10,0,13,38
2022,Burlington,34,12,1,13,54
2022,Camden,22,5,1,26,51
2022,Cape May,5,1,1,8,14
2022,Cumberland,15,1,0,4,20
2022,Essex,26,9,0,21,50
2022,Gloucester,28,5,0,7,39
2022,Hudson,9,2,0,6,15
2022,Hunterdon,6,0,0,2,8
2022,Mercer,15,2,2,7,26
2022,Middlesex,42,11,1,13,64
2022,Monmouth,29,11,1,13,46
2022,Morris,12,1,0,6,19
2022,Ocean,34,6,3,9,48
2022,Passaic,12,6,0,8,25
2022,Salem,12,6,1,1,19
2022,Somerset,8,3,1,6,17
2022,Sussex,9,2,1,2,14
2022,Union,11,3,1,15,30
2022,Warren,11,4,0,0,15
2023,Atlantic,18,7,2,13,37
2023,Bergen,20,4,1,13,36
2023,Burlington,26,3,2,5,34
2023,Camden,18,7,5,11,40
2023,Cape May,4,1,0,2,7
2023,Cumberland,13,5,0,4,20
2023,Essex,23,5,2,23,49
2023,Gloucester,21,7,1,5,32
2023,Hudson,10,3,3,9,23
2023,Hunterdon,3,0,1,0,4
2023,Mercer,14,3,1,10,28
2023,Middlesex,28,9,2,20,57
2023,Monmouth,17,7,4,9,37
2023,Morris,14,4,0,4,22
2023,Ocean,27,7,1,8,40
2023,Passaic,15,2,0,8,24
2023,Salem,8,2,0,2,11
2023,Somerset,13,4,0,6,21
2023,Sussex,6,2,0,1,6
2023,Union,14,6,2,15,35
2023,Warren,7,1,0,3,11
